wp_name,wp_campus_id,suggested_id,suggested_name,confidence,resolved_id
Nestleder,2,,,0.00,
Leder,2,,,0.00,
Manager,1,,,0.00,
Project Manager,1,,,0.00,
Financial Manager,1,,,0.00,
Linjeleder,1,,,0.00,
Utility Manager,1,,,0.00,
academic relations manager,1,,,0.00,
Linjeforening,1,,,0.00,
Kommunikasjon og markedsføring,4,,,0.00,
Bedriftskontakt,4,,,0.00,
Content Creator,2,,,0.00,
Pr-manager,2,,,0.00,
HR advisor,1,,"OSL ORG - Organisasjonspsykologi, HR og Ledelse",0.29,
business relations manager,2,,BRG LOP & Business Master Association,0.29,
academic association,1,,OSL BAA - Business Analytics Association,0.33,
Event Coordinator,4,,STV Event Committee - bruk SU,0.50,
